2015-11-13 14:37:30.5455| IP: ::1 | Method: GET | Path: /
2015-11-13 14:37:36.8912| IP: ::1 | Method: GET | Path: /
2015-11-13 14:37:41.3749| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:37:41.4929| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:38:38.1200| IP: ::1 | Method: GET | Path: /
2015-11-13 14:38:41.4798| IP: ::1 | Method: GET | Path: /
2015-11-13 14:38:47.5565| IP: ::1 | Method: GET | Path: /ru/Game/ChangeLanguage
2015-11-13 14:38:47.6076| IP: ::1 | Method: GET | Path: /
2015-11-13 14:38:47.7134| IP: ::1 | Method: GET | Path: /
2015-11-13 14:38:50.9634| IP: ::1 | Method: GET | Path: /ru/Game/ChangeLanguage
2015-11-13 14:38:50.9875| IP: ::1 | Method: GET | Path: /
2015-11-13 14:38:51.1045| IP: ::1 | Method: GET | Path: /
2015-11-13 14:38:54.1041| IP: ::1 | Method: GET | Path: /
2015-11-13 14:38:54.2126| IP: ::1 | Method: GET | Path: /
2015-11-13 14:38:58.2456| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:38:58.3662| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:39:06.8115| IP: ::1 | Method: GET | Path: /ru/Game/ChangeLanguage
2015-11-13 14:39:06.8265| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:39:06.9432| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:39:08.7714| IP: ::1 | Method: GET | Path: /Games/ChangeLanguage
2015-11-13 14:39:08.7714| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:39:08.8974| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:39:10.3473| IP: ::1 | Method: GET | Path: /Games/ChangeLanguage
2015-11-13 14:39:10.3584| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:39:10.5398| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:39:11.6267| IP: ::1 | Method: GET | Path: /Games/ChangeLanguage
2015-11-13 14:39:11.6387| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:39:11.7594| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:39:37.6916| IP: ::1 | Method: GET | Path: /
2015-11-13 14:39:39.9022| IP: ::1 | Method: GET | Path: /
2015-11-13 14:39:46.3904| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:39:46.5123| IP: ::1 | Method: GET | Path: /ru/
2015-11-13 14:39:50.7525| IP: ::1 | Method: GET | Path: /game/SCII
